person_id,pose_id,embedding
1,1,"[9.9442840e-01 8.3235174e-01 6.5887320e-01 9.8992795e-01 8.1167573e-01
 9.7871590e-01 9.9996465e-01 2.7726206e-01 4.4379910e-04 3.8083310e-03
 9.9525565e-01 1.5198065e-01 9.9962974e-01 9.9740982e-01 2.2919118e-01
 6.9612265e-01 8.1685638e-01 9.9872613e-01 8.6594811e-03 9.9608594e-01
 9.9065721e-01 2.7878927e-02 1.3516689e-02 4.0813461e-01 9.9518818e-01
 9.9312299e-01 9.9384338e-01 1.5909522e-04 1.6755242e-03 9.9492294e-01
 2.0479457e-02 1.5230361e-01 1.5727316e-03 3.2506205e-02 9.8403782e-02
 8.5815769e-03 1.3101380e-04 8.4259994e-02 9.2489278e-01 6.2496396e-04
 1.8121912e-04 5.1220658e-04 9.9895734e-01 8.6791998e-01 5.4678250e-02
 9.9952871e-01 7.8944610e-03 9.9729431e-01 2.2006103e-01 9.9938321e-01
 3.1070175e-04 9.9984312e-01 9.9979299e-01 9.9578941e-01 1.6214194e-02
 9.8941523e-01 9.9918973e-01 9.9060076e-01 9.5965081e-01 6.4004496e-05
 6.6145875e-02 9.9471295e-01 9.9698925e-01 6.8493391e-04]"
1,2,"[9.9993509e-01 2.8034011e-01 9.4479662e-01 9.9953091e-01 9.9719441e-01
 9.9476308e-01 9.9982196e-01 2.3783147e-03 1.4772265e-02 6.3493004e-05
 9.7325557e-01 7.3615350e-03 9.9114263e-01 9.8585784e-01 8.2826829e-01
 1.1115988e-01 9.7140968e-01 9.9041831e-01 2.2730539e-03 9.8142636e-01
 9.9914813e-01 1.2051735e-02 2.2062528e-04 2.5329775e-01 9.8338920e-01
 9.9098861e-01 9.9937314e-01 1.3404411e-03 1.9921069e-03 9.9997008e-01
 3.2232208e-03 6.9301407e-04 6.3742343e-03 1.8062027e-02 8.1367567e-03
 8.4159173e-02 1.3109340e-04 9.4564557e-01 9.9789816e-01 3.2413323e-04
 1.0255807e-02 2.0599922e-02 9.9675411e-01 9.9914557e-01 3.5791297e-02
 9.9892861e-01 2.7470628e-02 9.9856454e-01 5.5802000e-01 9.9996549e-01
 9.8224508e-04 9.8523736e-01 9.9806756e-01 9.7939885e-01 3.2701470e-02
 9.7020531e-01 9.9904555e-01 9.9913979e-01 9.5922357e-01 1.9815579e-06
 3.9909431e-03 9.9390900e-01 9.8517799e-01 2.8315529e-02]"
1,3,"[9.98334825e-01 5.05249202e-02 8.65631342e-01 9.99666870e-01
 9.99554276e-01 9.98396158e-01 9.99938726e-01 2.53169443e-02
 1.19523657e-03 1.29339314e-04 9.96310711e-01 6.47812150e-04
 9.85232890e-01 9.95336115e-01 7.89175808e-01 5.40214926e-02
 9.27440584e-01 9.90110993e-01 1.41791173e-03 9.41680491e-01
 9.98825133e-01 1.72824552e-03 2.79751625e-02 2.37252079e-02
 9.99700785e-01 9.86626446e-01 8.34358692e-01 1.15411612e-03
 1.35003575e-04 9.99460697e-01 1.20405452e-02 1.25200037e-04
 1.05806282e-02 7.36632058e-03 3.30143166e-03 4.77548093e-02
 4.90700710e-04 4.22473907e-01 9.98249054e-01 4.08833323e-04
 5.02546951e-02 6.53284639e-02 9.99834478e-01 9.89748001e-01
 5.53089261e-01 9.99711514e-01 1.21722920e-02 9.94970441e-01
 4.09160197e-01 9.99975741e-01 1.48758525e-02 9.34518933e-01
 9.99104977e-01 9.95101571e-01 7.91844055e-02 9.14491415e-01
 9.99837756e-01 9.94010091e-01 9.52024817e-01 2.88052906e-05
 1.21330074e-03 9.30008233e-01 9.09179151e-01 3.34863877e-03]"
1,4,"[9.99982476e-01 3.55400383e-01 9.30949569e-01 9.99886632e-01
 9.98702705e-01 9.97087896e-01 9.99882996e-01 1.26166828e-02
 1.44750634e-02 1.83699798e-04 9.96835291e-01 1.07713114e-03
 9.99637365e-01 9.98471975e-01 6.70936048e-01 1.24239780e-01
 9.74563360e-01 9.94288266e-01 4.31150384e-03 9.99306500e-01
 9.97662425e-01 8.35681800e-03 1.92326152e-05 9.73181278e-02
 9.97261524e-01 9.84655738e-01 9.99518931e-01 1.00620215e-04
 1.44620123e-03 9.99765575e-01 1.72947766e-03 1.18680100e-03
 1.78944115e-02 1.81985821e-03 1.30579891e-02 2.24211309e-02
 1.00194229e-04 8.08941960e-01 9.96892869e-01 4.70561296e-04
 2.09273417e-02 4.18207645e-02 9.99269247e-01 9.93523180e-01
 8.55787247e-02 9.97275829e-01 2.82331370e-03 9.99213994e-01
 1.53443947e-01 9.99915838e-01 6.46690431e-04 9.98127699e-01
 9.98829126e-01 9.96603191e-01 1.16983809e-01 9.78070259e-01
 9.97757137e-01 9.99280751e-01 9.83578682e-01 1.37269662e-05
 1.89484213e-03 9.98006344e-01 9.03378487e-01 5.32222763e-02]"
1,5,"[9.9801195e-01 1.6387925e-01 9.8018259e-01 9.9979210e-01 9.8679084e-01
 9.5119935e-01 9.9996185e-01 4.3103698e-01 6.9932023e-04 5.0935720e-04
 9.1581082e-01 7.5366959e-02 9.9939227e-01 9.9822146e-01 2.9257381e-01
 3.1536874e-01 9.9085516e-01 9.9825197e-01 2.3050285e-03 9.9132448e-01
 9.9959731e-01 8.4412107e-03 2.6419444e-03 3.0043596e-01 9.9786645e-01
 9.8008245e-01 9.9814212e-01 2.7980143e-04 2.5788958e-03 9.9937487e-01
 4.1286238e-03 7.5960942e-02 1.1421257e-03 3.4381165e-03 1.0473406e-01
 3.8389817e-02 2.0167627e-04 4.1369906e-01 8.4102631e-01 3.2368238e-04
 6.0395894e-05 2.1640997e-02 9.9889255e-01 9.8477745e-01 3.6805101e-02
 9.9998617e-01 1.1905635e-02 9.9266958e-01 3.3130825e-01 9.9890018e-01
 1.7966314e-03 9.9929112e-01 9.9915916e-01 9.9896932e-01 3.0507728e-02
 9.9552912e-01 9.9889332e-01 9.9950731e-01 9.8960114e-01 5.8058045e-05
 5.8211811e-02 9.6759629e-01 9.9871385e-01 8.5897296e-04]"
1,6,"[9.99557495e-01 6.11120880e-01 9.47116137e-01 9.99135196e-01
 9.91733193e-01 9.94751573e-01 9.99560058e-01 4.91688251e-02
 1.86248319e-04 4.18414769e-04 9.61165011e-01 4.06783819e-03
 9.98579621e-01 9.85492647e-01 4.72620130e-01 7.19397841e-03
 9.96436238e-01 9.82653737e-01 1.07707456e-03 9.96032298e-01
 9.98430610e-01 3.67240445e-03 1.70570856e-03 2.31314972e-01
 9.88153040e-01 9.87071216e-01 9.98846233e-01 1.51456939e-02
 1.15287676e-03 9.99201953e-01 6.65407851e-02 1.94925931e-04
 4.90146223e-04 1.63072185e-03 8.56157318e-02 8.76924321e-02
 1.09548375e-04 9.20717180e-01 9.98527765e-01 6.96709007e-03
 9.78186843e-04 2.91213512e-01 9.99746323e-01 9.99704361e-01
 8.28951374e-02 9.99388516e-01 1.04495313e-03 9.98679459e-01
 4.16447699e-01 9.99205887e-01 5.67856897e-03 7.56366014e-01
 9.99823809e-01 9.66724813e-01 1.58869009e-02 9.97094154e-01
 9.94489551e-01 9.97024536e-01 9.89409685e-01 1.07906553e-05
 2.66730576e-03 9.68715131e-01 9.97758985e-01 1.06748221e-02]"
1,7,"[9.99791265e-01 1.88108772e-01 9.76809919e-01 9.99692380e-01
 9.99796331e-01 7.63562560e-01 9.99968052e-01 1.67441294e-02
 4.21847828e-04 2.15223245e-02 9.80614960e-01 4.02402540e-04
 9.81795073e-01 9.98432100e-01 9.59383070e-01 4.35374454e-02
 9.99481738e-01 9.97511148e-01 1.29123928e-03 9.87402558e-01
 9.95724678e-01 3.82175873e-04 2.34400085e-03 3.02924097e-01
 9.77823436e-01 4.63787675e-01 9.98990178e-01 1.44716573e-03
 5.54852234e-03 9.99851644e-01 4.10117880e-02 1.68982319e-06
 4.23841877e-04 1.99916456e-02 1.94279049e-02 8.21728632e-02
 2.91618780e-04 5.19982696e-01 5.33059418e-01 1.12449884e-01
 3.51170972e-02 5.64013362e-01 9.99971688e-01 9.86176372e-01
 3.07395849e-02 9.99763608e-01 7.93975890e-02 9.97704089e-01
 3.64285079e-04 9.94371176e-01 1.09585957e-03 9.86899078e-01
 9.89421189e-01 3.11230868e-01 5.67552261e-02 8.95810843e-01
 9.98802543e-01 4.56793875e-01 9.95496750e-01 2.92645232e-03
 6.94729714e-03 9.97878969e-01 5.61279178e-01 5.70250973e-02]"
1,8,"[9.9910992e-01 2.7891490e-01 6.4606500e-01 9.7838610e-01 9.7468364e-01
 9.5388931e-01 9.9994677e-01 1.8767871e-01 1.7516793e-03 2.2414082e-03
 8.3800030e-01 1.1914780e-02 9.9772000e-01 6.8288755e-01 2.3238561e-01
 3.2028824e-02 9.7646540e-01 9.9207568e-01 3.6144637e-02 9.8986226e-01
 9.9849868e-01 2.7168146e-03 3.9338812e-02 5.4328267e-02 9.6116304e-01
 9.9360281e-01 9.4389254e-01 5.1020449e-03 1.9744501e-04 9.9877965e-01
 3.8779431e-03 5.9037325e-03 3.5651419e-03 9.0001738e-03 9.3904167e-02
 8.9598730e-02 2.4018541e-03 7.8334785e-01 9.7291148e-01 1.5478565e-04
 2.7886441e-02 4.0330660e-02 9.9940318e-01 9.7857934e-01 8.9876279e-02
 9.9934494e-01 7.0912428e-02 9.9751562e-01 5.1991310e-02 9.9865472e-01
 3.9065350e-02 9.9839765e-01 9.9997306e-01 9.9885774e-01 3.5264909e-01
 8.9243954e-01 9.9960226e-01 8.9056301e-01 9.7967231e-01 3.7430823e-04
 6.5187505e-04 5.8105665e-01 9.8775721e-01 8.6895870e-03]"
1,9,"[9.9993157e-01 6.1890298e-01 9.9274474e-01 9.9980140e-01 9.8947775e-01
 9.9297589e-01 9.9999791e-01 5.2965295e-01 5.1789603e-04 1.4654777e-04
 9.8312080e-01 2.1045554e-02 9.9923760e-01 9.9980485e-01 6.6830921e-01
 4.7550726e-01 9.9711347e-01 9.9205190e-01 6.7335228e-04 9.9938095e-01
 9.9910522e-01 5.4201479e-03 2.7302047e-03 4.9814656e-01 9.9557233e-01
 9.8612809e-01 9.9928540e-01 2.7577899e-04 3.1083447e-03 9.9970788e-01
 1.0047589e-03 3.3628019e-03 5.2856025e-04 2.4023582e-03 2.0695145e-01
 2.1899302e-02 3.3257480e-04 5.1190823e-01 7.7962589e-01 4.0426134e-04
 1.3233074e-03 2.2978187e-02 9.9888438e-01 9.9710530e-01 9.8226368e-03
 9.9995935e-01 9.8646041e-03 9.9394464e-01 4.1040221e-01 9.9951571e-01
 2.1235168e-03 9.9819970e-01 9.9987030e-01 9.9490249e-01 2.1074766e-02
 9.7430390e-01 9.9836379e-01 9.9957472e-01 9.9353129e-01 2.5008994e-04
 2.9642396e-02 9.9865127e-01 9.9292600e-01 1.4426491e-03]"
1,10,"[9.99275982e-01 7.34585345e-01 7.92272210e-01 9.96974945e-01
 9.91609931e-01 9.84468043e-01 9.99016881e-01 5.83990738e-02
 3.67048220e-03 2.84844282e-05 9.91380394e-01 1.02757877e-02
 9.98524964e-01 9.86864388e-01 7.59939611e-01 2.00167508e-03
 9.94801104e-01 9.95806813e-01 2.22419086e-03 9.91835833e-01
 9.97667968e-01 2.29168893e-03 8.72102682e-05 1.04154758e-01
 9.94156361e-01 9.95450795e-01 9.99475121e-01 9.47978813e-03
 5.06577257e-04 9.98822629e-01 1.48472760e-03 1.51999542e-04
 9.94129688e-04 7.89433718e-04 9.51567888e-02 2.14263070e-02
 4.76911868e-04 3.73066247e-01 9.91462946e-01 1.64460437e-03
 1.28038200e-02 1.03721716e-01 9.99908745e-01 9.98892009e-01
 1.99449271e-01 9.98427629e-01 2.80180643e-03 9.98367190e-01
 2.41305262e-01 9.99834418e-01 7.85762072e-03 9.67620015e-01
 9.99953628e-01 9.93634284e-01 1.34044990e-01 9.98691261e-01
 9.95971560e-01 9.41343486e-01 9.94611025e-01 1.84917444e-05
 4.67288395e-04 9.99273002e-01 9.96059239e-01 3.88424634e-03]"
